datetime,year,month,day,hour,weekday,season,district,is_ub,horoo,cause,cause_raw
2015-04-10 21:16:00,2015,4,10,21,4,Хавар,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
2015-04-11 13:23:00,2015,4,11,13,5,Хавар,Багануур,TRUE,1,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2015-04-19 17:19:00,2015,4,19,17,6,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-04-21 16:54:00,2015,4,21,16,1,Хавар,Багануур,TRUE,4,Ил гал,Ил гал
2015-04-22 12:16:00,2015,4,22,12,2,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2015-04-24 21:35:00,2015,4,24,21,4,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-04-26 10:22:00,2015,4,26,10,6,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-04-26 11:13:00,2015,4,26,11,6,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-04-26 13:39:00,2015,4,26,13,6,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-04-26 13:52:00,2015,4,26,13,6,Хавар,Багануур,TRUE,4,Бусад,Шалтгаан тогтоогдоогүй
2015-04-26 15:01:00,2015,4,26,15,6,Хавар,Багануур,TRUE,4,Ил гал,Ил гал
2015-04-27 13:55:00,2015,4,27,13,0,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-04-27 15:36:00,2015,4,27,15,0,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-04-29 17:22:00,2015,4,29,17,2,Хавар,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
2015-04-29 18:50:00,2015,4,29,18,2,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-04-29 19:31:00,2015,4,29,19,2,Хавар,Багануур,TRUE,4,Ил гал,Ил гал
2015-04-30 16:16:00,2015,4,30,16,3,Хавар,Багануур,TRUE,4,Ил гал,Ил гал
2015-05-01 17:47:00,2015,5,1,17,4,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-05-09 13:32:00,2015,5,9,13,5,Хавар,Багануур,TRUE,4,Ил гал,Ил гал
2015-05-09 16:23:00,2015,5,9,16,5,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-05-12 17:32:00,2015,5,12,17,1,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2015-05-13 13:32:00,2015,5,13,13,2,Хавар,Багануур,TRUE,4,Ил гал,Ил гал
2015-05-14 12:17:00,2015,5,14,12,3,Хавар,Багануур,TRUE,2,Ил гал,Ил гал
2015-05-15 21:54:00,2015,5,15,21,4,Хавар,Багануур,TRUE,3,Ил гал,Ил гал
2015-05-17 12:55:00,2015,5,17,12,6,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-05-18 17:38:00,2015,5,18,17,0,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2015-05-19 17:10:00,2015,5,19,17,1,Хавар,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
2015-05-21 17:59:00,2015,5,21,17,3,Хавар,Багануур,TRUE,1,Машин/техник,Машин техникийн гэмтэл ашиглалт буруугаас
2015-05-22 10:30:00,2015,5,22,10,4,Хавар,Багануур,TRUE,3,Ил гал,Ил гал
2015-05-23 13:52:00,2015,5,23,13,5,Хавар,Багануур,TRUE,5,Бусад,Шалтгаан тогтоогдоогүй
2015-05-25 04:15:00,2015,5,25,4,0,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-05-27 20:28:00,2015,5,27,20,2,Хавар,Багануур,TRUE,1,Цахилгаан,Цахилгааны техникийн гэмтлээс
2015-05-30 00:09:00,2015,5,30,0,5,Хавар,Багануур,TRUE,1,Худал дуудлага,худал
2015-05-30 01:59:00,2015,5,30,1,5,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-05-30 13:40:00,2015,5,30,13,5,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-05-30 16:38:00,2015,5,30,16,5,Хавар,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
2015-06-02 15:03:00,2015,6,2,15,1,Зун,Багануур,TRUE,1,Ил гал,Ил гал
2015-06-03 16:08:00,2015,6,3,16,2,Зун,Багануур,TRUE,5,Ил гал,Ил гал
2015-06-05 17:16:00,2015,6,5,17,4,Зун,Багануур,TRUE,2,Худал дуудлага,худал
2015-06-25 19:09:00,2015,6,25,19,3,Зун,Багануур,TRUE,1,Ил гал,Ил гал
2015-07-03 14:29:00,2015,7,3,14,4,Зун,Багануур,TRUE,5,Ил гал,Ил гал
2015-07-05 12:51:00,2015,7,5,12,6,Зун,Багануур,TRUE,3,Цахилгаан,Цахилгааны техникийн гэмтлээс
2015-07-11 14:34:00,2015,7,11,14,5,Зун,Багануур,TRUE,4,Ил гал,Ил гал
2015-07-11 23:20:00,2015,7,11,23,5,Зун,Багануур,TRUE,5,Ил гал,Ил гал
2015-07-13 19:22:00,2015,7,13,19,0,Зун,Багануур,TRUE,3,Ил гал,Ил гал
2015-08-05 21:02:00,2015,8,5,21,2,Зун,Багануур,TRUE,4,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2015-09-22 19:41:00,2015,9,22,19,1,Намар,Багануур,TRUE,2,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2015-10-11 11:13:00,2015,10,11,11,6,Намар,Багануур,TRUE,4,Ил гал,Ил гал
2015-11-07 15:38:00,2015,11,7,15,5,Намар,Багануур,TRUE,5,Ил гал,Ил гал
2015-11-17 19:51:00,2015,11,17,19,1,Намар,Багануур,TRUE,5,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2015-11-18 13:19:00,2015,11,18,13,2,Намар,Багануур,TRUE,4,Цахилгаан,Цахилгааны техникийн гэмтлээс
2015-11-23 10:00:00,2015,11,23,10,0,Намар,Багануур,TRUE,3,Ил гал,Ил гал
2015-11-23 11:33:00,2015,11,23,11,0,Намар,Багануур,TRUE,3,Ил гал,Ил гал
2015-11-27 15:11:00,2015,11,27,15,4,Намар,Багануур,TRUE,4,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2015-11-29 21:09:00,2015,11,29,21,6,Намар,Багануур,TRUE,5,Бусад,Шалтгаан тогтоогдоогүй
2015-12-02 13:33:00,2015,12,2,13,2,Өвөл,Багануур,TRUE,3,Цахилгаан,Цахилгааны угсралтын буруугаас
2015-12-28 09:51:00,2015,12,28,9,0,Өвөл,Багануур,TRUE,5,Ил гал,Ил гал
2016-01-17 10:15:00,2016,1,17,10,6,Өвөл,Багануур,TRUE,1,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2016-01-18 18:33:00,2016,1,18,18,0,Өвөл,Багануур,TRUE,4,Ил гал,Ил гал
2016-01-30 19:28:00,2016,1,30,19,5,Өвөл,Багануур,TRUE,1,Ил гал,Ил гал
2016-02-03 00:33:00,2016,2,3,0,2,Өвөл,Багануур,TRUE,1,Машин/техник,Машин техникийн гэмтэл ашиглалт буруугаас
2016-02-16 16:17:00,2016,2,16,16,1,Өвөл,Багануур,TRUE,5,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2016-02-20 22:05:00,2016,2,20,22,5,Өвөл,Багануур,TRUE,4,Ил гал,Ил гал
2016-02-21 18:14:00,2016,2,21,18,6,Өвөл,Багануур,TRUE,1,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2016-03-04 11:07:00,2016,3,4,11,4,Хавар,Багануур,TRUE,1,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2016-03-06 10:26:00,2016,3,6,10,6,Хавар,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
2016-03-25 10:08:00,2016,3,25,10,4,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2016-04-10 13:11:00,2016,4,10,13,6,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2016-04-19 19:30:00,2016,4,19,19,1,Хавар,Багануур,TRUE,2,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2016-04-20 02:02:00,2016,4,20,2,2,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2016-04-20 13:05:00,2016,4,20,13,2,Хавар,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
2016-04-23 15:12:00,2016,4,23,15,5,Хавар,Багануур,TRUE,4,Ил гал,Ил гал
2016-04-26 19:30:00,2016,4,26,19,1,Хавар,Багануур,TRUE,2,Бусад,Шалтгаан тогтоогдоогүй
2016-04-28 20:51:00,2016,4,28,20,3,Хавар,Багануур,TRUE,5,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2016-05-08 21:54:00,2016,5,8,21,6,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2016-05-09 18:07:00,2016,5,9,18,0,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2016-05-19 03:36:00,2016,5,19,3,3,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2016-05-19 18:41:00,2016,5,19,18,3,Хавар,Багануур,TRUE,1,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2016-05-21 16:10:00,2016,5,21,16,5,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2016-05-31 13:54:00,2016,5,31,13,1,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2016-06-13 21:02:00,2016,6,13,21,0,Зун,Багануур,TRUE,1,Ил гал,Ил гал
2016-07-07 17:29:00,2016,7,7,17,3,Зун,Багануур,TRUE,1,Ил гал,Ил гал
2016-07-07 23:06:00,2016,7,7,23,3,Зун,Багануур,TRUE,5,Бусад,Шалтгаан тогтоогдоогүй
2016-07-13 16:11:00,2016,7,13,16,2,Зун,Багануур,TRUE,1,Ил гал,Ил гал
2016-08-14 17:06:00,2016,8,14,17,6,Зун,Багануур,TRUE,5,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2016-08-25 16:01:00,2016,8,25,16,3,Зун,Багануур,TRUE,1,Ил гал,Ил гал
2016-08-28 16:17:00,2016,8,28,16,6,Зун,Багануур,TRUE,5,Ил гал,Ил гал
2016-08-29 10:03:00,2016,8,29,10,0,Зун,Багануур,TRUE,5,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2016-09-08 21:29:00,2016,9,8,21,3,Намар,Багануур,TRUE,3,Ил гал,Ил гал
2016-09-14 20:31:00,2016,9,14,20,2,Намар,Багануур,TRUE,5,Ил гал,Ил гал
2016-09-16 19:09:00,2016,9,16,19,4,Намар,Багануур,TRUE,4,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2016-09-29 12:21:00,2016,9,29,12,3,Намар,Багануур,TRUE,1,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2016-09-29 14:48:00,2016,9,29,14,3,Намар,Багануур,TRUE,5,Ил гал,Ил гал
2016-09-30 22:01:00,2016,9,30,22,4,Намар,Багануур,TRUE,4,Ил гал,Ил гал
2016-10-15 15:58:00,2016,10,15,15,5,Намар,Багануур,TRUE,4,Ил гал,Ил гал
2016-11-28 21:16:00,2016,11,28,21,0,Намар,Багануур,TRUE,1,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2016-12-05 01:15:00,2016,12,5,1,0,Өвөл,Багануур,TRUE,5,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2016-12-05 01:15:00,2016,12,5,1,0,Өвөл,Багануур,TRUE,1,Бусад,Архидан согтуурснаас
2016-12-10 16:12:00,2016,12,10,16,5,Өвөл,Багануур,TRUE,3,Ил гал,Ил гал
2016-12-13 09:30:00,2016,12,13,9,1,Өвөл,Багануур,TRUE,5,Ил гал,Ил гал
2016-12-27 01:21:00,2016,12,27,1,1,Өвөл,Багануур,TRUE,5,Ил гал,Ил гал
2016-12-28 21:41:00,2016,12,28,21,2,Өвөл,Багануур,TRUE,4,Ил гал,Ил гал
2017-01-17 05:13:00,2017,1,17,5,1,Өвөл,Багануур,TRUE,2,Ил гал,Ил гал
2017-02-08 18:26:00,2017,2,8,18,2,Өвөл,Багануур,TRUE,5,Ил гал,Ил гал
2017-02-12 17:28:00,2017,2,12,17,6,Өвөл,Багануур,TRUE,4,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2017-02-26 03:50:00,2017,2,26,3,6,Өвөл,Багануур,TRUE,1,Бусад,Санамсаргүй байдал
2017-03-04 16:21:00,2017,3,4,16,5,Хавар,Багануур,TRUE,4,Бусад,Шалтгаан тогтоогдоогүй
2017-04-01 11:00:00,2017,4,1,11,5,Хавар,Багануур,TRUE,3,Бусад,Санамсаргүй байдал
2017-04-04 16:20:00,2017,4,4,16,1,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2017-04-08 20:53:00,2017,4,8,20,5,Хавар,Багануур,TRUE,1,Бусад,Бусад
2017-04-16 23:05:00,2017,4,16,23,6,Хавар,Багануур,TRUE,4,Ил гал,Ил гал
2017-05-07 17:47:00,2017,5,7,17,6,Хавар,Багануур,TRUE,3,Ил гал,Ил гал
2017-05-11 07:17:00,2017,5,11,7,3,Хавар,Багануур,TRUE,3,Ил гал,Ил гал
2017-05-11 09:26:00,2017,5,11,9,3,Хавар,Багануур,TRUE,4,Бусад,Бусад
2017-05-17 12:41:00,2017,5,17,12,2,Хавар,Багануур,TRUE,4,Машин/техник,Машин техникийн гэмтэл ашиглалт буруугаас
2017-05-18 18:23:00,2017,5,18,18,3,Хавар,Багануур,TRUE,4,Бусад,Шалтгаан тогтоогдоогүй
2017-05-24 11:30:00,2017,5,24,11,2,Хавар,Багануур,TRUE,5,Бусад,Бусад
2017-06-06 05:14:00,2017,6,6,5,1,Зун,Багануур,TRUE,3,Ил гал,Ил гал
2017-06-15 16:10:00,2017,6,15,16,3,Зун,Багануур,TRUE,3,Ил гал,Ил гал
2017-06-19 04:02:00,2017,6,19,4,0,Зун,Багануур,TRUE,4,Бусад,Шалтгаан тогтоогдоогүй
2017-07-05 19:16:00,2017,7,5,19,2,Зун,Багануур,TRUE,2,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2017-07-14 23:32:00,2017,7,14,23,4,Зун,Багануур,TRUE,3,Ил гал,Ил гал
2017-07-23 22:33:00,2017,7,23,22,6,Зун,Багануур,TRUE,4,Бусад,Шалтгаан тогтоогдоогүй
2017-08-17 11:38:00,2017,8,17,11,3,Зун,Багануур,TRUE,5,Бусад,Бусад
2017-08-28 02:20:00,2017,8,28,2,0,Зун,Багануур,TRUE,4,Ил гал,Ил гал
2017-09-21 15:34:00,2017,9,21,15,3,Намар,Багануур,TRUE,3,Ил гал,Ил гал
2017-09-24 22:05:00,2017,9,24,22,6,Намар,Багануур,TRUE,4,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2017-10-01 05:04:00,2017,10,1,5,6,Намар,Багануур,TRUE,1,Цахилгаан,Цахилгааны техникийн гэмтлээс
2017-11-04 10:45:00,2017,11,4,10,5,Намар,Багануур,TRUE,5,Ил гал,Ил гал
2017-11-20 10:54:00,2017,11,20,10,0,Намар,Багануур,TRUE,3,Бусад,Санамсаргүй байдал
2017-11-24 15:40:00,2017,11,24,15,4,Намар,Багануур,TRUE,5,Бусад,Санамсаргүй байдал
2017-12-01 21:10:00,2017,12,1,21,4,Өвөл,Багануур,TRUE,5,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2018-01-03 05:34:00,2018,1,3,5,2,Өвөл,Багануур,TRUE,1,Бусад,Бусад
2018-01-20 21:01:00,2018,1,20,21,5,Өвөл,Багануур,TRUE,1,Худал дуудлага,худал
2018-01-28 17:59:00,2018,1,28,17,6,Өвөл,Багануур,TRUE,3,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2018-02-03 22:00:00,2018,2,3,22,5,Өвөл,Багануур,TRUE,3,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2018-02-18 15:05:00,2018,2,18,15,6,Өвөл,Багануур,TRUE,5,Бусад,Бусад
2018-03-04 02:10:00,2018,3,4,2,6,Хавар,Багануур,TRUE,5,Бусад,Бусад
2018-03-21 19:03:00,2018,3,21,19,2,Хавар,Багануур,TRUE,2,Ил гал,Ил гал
2018-03-24 13:15:00,2018,3,24,13,5,Хавар,Багануур,TRUE,1,Бусад,Санамсаргүй байдал
2018-04-01 21:00:00,2018,4,1,21,6,Хавар,Багануур,TRUE,3,Машин/техник,Машин техникийн гэмтэл ашиглалт буруугаас
2018-04-02 21:18:00,2018,4,2,21,0,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2018-04-18 19:11:00,2018,4,18,19,2,Хавар,Багануур,TRUE,5,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2018-04-23 16:00:00,2018,4,23,16,0,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2018-04-28 10:07:00,2018,4,28,10,5,Хавар,Багануур,TRUE,5,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2018-05-17 16:24:00,2018,5,17,16,3,Хавар,Багануур,TRUE,1,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2018-05-21 02:33:00,2018,5,21,2,0,Хавар,Багануур,TRUE,5,Бусад,Санамсаргүй байдал
2018-05-29 18:55:00,2018,5,29,18,1,Хавар,Багануур,TRUE,4,Бусад,Санамсаргүй байдал
2018-06-13 16:39:00,2018,6,13,16,2,Зун,Багануур,TRUE,3,Ил гал,Ил гал
2018-06-14 09:48:00,2018,6,14,9,3,Зун,Багануур,TRUE,5,Бусад,Санамсаргүй байдал
2018-06-17 02:42:00,2018,6,17,2,6,Зун,Багануур,TRUE,3,Цахилгаан,Цахилгааны техникийн гэмтлээс
2018-07-19 06:15:00,2018,7,19,6,3,Зун,Багануур,TRUE,1,Бусад,Санамсаргүй байдал
2018-08-16 14:45:00,2018,8,16,14,3,Зун,Багануур,TRUE,1,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2018-08-17 10:07:00,2018,8,17,10,4,Зун,Багануур,TRUE,5,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2018-10-09 15:29:00,2018,10,9,15,1,Намар,Багануур,TRUE,3,Ил гал,Ил гал
2018-10-16 13:20:00,2018,10,16,13,1,Намар,Багануур,TRUE,5,Ил гал,Ил гал
2018-10-25 12:00:00,2018,10,25,12,3,Намар,Багануур,TRUE,4,Ил гал,Ил гал
2018-11-04 19:25:00,2018,11,4,19,6,Намар,Багануур,TRUE,4,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2018-11-07 15:17:00,2018,11,7,15,2,Намар,Багануур,TRUE,1,Бусад,Санамсаргүй байдал
2018-11-20 18:45:00,2018,11,20,18,1,Намар,Багануур,TRUE,5,Ил гал,Ил гал
2018-11-25 13:41:00,2018,11,25,13,6,Намар,Багануур,TRUE,3,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2018-11-28 09:00:00,2018,11,28,9,2,Намар,Багануур,TRUE,5,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2019-01-16 16:56:00,2019,1,16,16,2,Өвөл,Багануур,TRUE,5,Ил гал,Ил гал
2019-01-27 01:44:00,2019,1,27,1,6,Өвөл,Багануур,TRUE,4,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2019-02-08 07:45:00,2019,2,8,7,4,Өвөл,Багануур,TRUE,5,Ил гал,Ил гал
2019-02-08 12:00:00,2019,2,8,12,4,Өвөл,Багануур,TRUE,4,Ил гал,Ил гал
2019-02-18 22:42:00,2019,2,18,22,0,Өвөл,Багануур,TRUE,3,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2019-02-25 08:25:00,2019,2,25,8,0,Өвөл,Багануур,TRUE,5,Ил гал,Ил гал
2019-03-05 14:27:00,2019,3,5,14,1,Хавар,Багануур,TRUE,4,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2019-03-07 15:05:00,2019,3,7,15,3,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2019-03-15 01:45:00,2019,3,15,1,4,Хавар,Багануур,TRUE,5,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2019-03-22 10:05:00,2019,3,22,10,4,Хавар,Багануур,TRUE,5,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2019-03-22 12:05:00,2019,3,22,12,4,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2019-04-01 22:47:00,2019,4,1,22,0,Хавар,Багануур,TRUE,4,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2019-04-10 13:55:00,2019,4,10,13,2,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2019-04-12 11:58:00,2019,4,12,11,4,Хавар,Багануур,TRUE,2,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2019-04-12 14:49:00,2019,4,12,14,4,Хавар,Багануур,TRUE,3,Ил гал,Ил гал
2019-04-14 13:24:00,2019,4,14,13,6,Хавар,Багануур,TRUE,3,Ил гал,Ил гал
2019-04-21 05:19:00,2019,4,21,5,6,Хавар,Багануур,TRUE,5,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2019-04-21 18:23:00,2019,4,21,18,6,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2019-04-25 15:12:00,2019,4,25,15,3,Хавар,Багануур,TRUE,4,Ил гал,Ил гал
2019-05-02 14:00:00,2019,5,2,14,3,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2019-05-04 12:57:00,2019,5,4,12,5,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2019-05-04 19:35:00,2019,5,4,19,5,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2019-05-14 14:47:00,2019,5,14,14,1,Хавар,Багануур,TRUE,2,Ил гал,Ил гал
2019-05-22 13:29:00,2019,5,22,13,2,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2019-05-22 18:31:00,2019,5,22,18,2,Хавар,Багануур,TRUE,4,Ил гал,Ил гал
2019-05-27 11:42:00,2019,5,27,11,0,Хавар,Багануур,TRUE,5,Ил гал,Ил гал
2019-06-16 16:19:00,2019,6,16,16,6,Зун,Багануур,TRUE,5,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2019-06-18 15:10:00,2019,6,18,15,1,Зун,Багануур,TRUE,5,Ил гал,Ил гал
2019-06-21 18:19:00,2019,6,21,18,4,Зун,Багануур,TRUE,4,Ил гал,Ил гал
2019-06-30 08:53:00,2019,6,30,8,6,Зун,Багануур,TRUE,4,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2019-07-23 04:30:00,2019,7,23,4,1,Зун,Багануур,TRUE,1,Цахилгаан,Цахилгааны техникийн гэмтлээс
2019-07-26 12:42:00,2019,7,26,12,4,Зун,Багануур,TRUE,3,Ил гал,Ил гал
2019-08-07 12:20:00,2019,8,7,12,2,Зун,Багануур,TRUE,3,Ил гал,Ил гал
2019-08-09 06:20:00,2019,8,9,6,4,Зун,Багануур,TRUE,5,Цахилгаан,Цахилгааны техникийн гэмтлээс
2019-09-13 14:44:00,2019,9,13,14,4,Намар,Багануур,TRUE,1,Машин/техник,Машин техникийн гэмтэл ашиглалт буруугаас
2019-09-27 01:20:00,2019,9,27,1,4,Намар,Багануур,TRUE,1,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2019-10-25 02:05:00,2019,10,25,2,4,Намар,Багануур,TRUE,5,Ил гал,Ил гал
2019-10-30 22:37:00,2019,10,30,22,2,Намар,Багануур,TRUE,1,Яндан/цонолт,Яндангийн цонолт
2019-11-19 20:08:00,2019,11,19,20,1,Намар,Багануур,TRUE,1,Цахилгаан,Цахилгааны угсралтын буруугаас
2019-11-21 16:06:00,2019,11,21,16,3,Намар,Багануур,TRUE,5,Яндан/цонолт,Яндангийн цонолт
2019-11-24 06:48:00,2019,11,24,6,6,Намар,Багануур,TRUE,5,Цахилгаан,Цахилгааны угсралтын буруугаас
2019-12-11 20:35:00,2019,12,11,20,2,Өвөл,Багануур,TRUE,5,Цахилгаан,Цахилгааны угсралтын буруугаас
2019-12-12 18:57:00,2019,12,12,18,3,Өвөл,Багануур,TRUE,5,Яндан/цонолт,Яндангийн цонолт
2020-01-09 16:08:00,2020,1,9,16,3,Өвөл,Багануур,TRUE,5,Ил гал,Ил гал
